period	words	genre	title	citation	syntax	form
1820s	senang	verses	KTS 60b	....., Serta sekalian dayang pasti | Demi Tengku dengar kata , Hati di dalam sukacita , Terima kasih sekalian kita , Segera juga datang beta | Tadi tuan besar sakit , Sekarang <phr>ada</phr> <w>senang</w> <phr>sedikit</phr> , Di dalam bilik ada bangkit , Mau Tengku segera sedikit | Berjalanlah Tengku dengan segera , Serta dayang teruna dara , Elok bagus tidak terkira , Bagai Galuh ......	nominal	root
1830s	senang	verses	KBima 227b	| Riuh rendah ia mengangkut , berjalan beriring seperti semut , rupanya bagai setan mengerbang rambut , tubuhnya hitam memakai kancut | Sudahlah binasa negeri Wera , orang yang senang menjadi haru hara , segenap hutan tempat mengembara , lupakan anak dengan saudara | Negeri Wera sudahlah binasakan , negeri Sape pula´ dikira-kirakan , datanglah orang ......	non-nominal	root
1830s	senang	verses	DBB 4c	.... ajaibkan diri* , sekarang saudagar memerintahkan negeri , tandanya dunia sudahlah akhiri | imam pun khabarnya mengambil upah , pada yang bercerai kahwin dan nikah , hukum* yang senang menjadi payah , jalan yang benar pun boleh disalah | apabila sudah mendapat suab , sebarang soal boleh dijawab , Quran dan pakihi* duduk diadap , begitu begini mencarikan ...	non-nominal	root
1830s	senang	verses	Perb 51*h	... ini diperbuat hingga belum datang bicara lain-lain karena dekat raja-raja maulah seorang yang akil* lagi bangsawan dengan baik kelakuan mau jaga jikalau miskin pun hati nanti senang jika kurang daripada itu niscaya susah serta malu aib pun boleh inilah macamnya melainkan janganlah khuatir jika lain daripada surat perjanjian di tangannya Tengku bolehlah .	non-nominal	root
1830s	senang	verses	Perb 51*o	........ jika tiada diperbuat demikian itu tiadalah boleh patik bersama-sama Tengku sebab dua musuh satu daripada Kampeni dan suatu daripada orang-orang Tuanku dengan tiada boleh senang serta sentosya selama-lama adanya di dalam pada itu cuba-cuba juga Tengku pikirkan hal Tengku pun malu aib dan serta boleh senang segala* pasal Tengku itu melainkan bodohlah	non-nominal	root
1830s	senang	verses	Perb 51*p	. daripada orang-orang Tuanku dengan tiada boleh senang serta sentosya selama-lama adanya di dalam pada itu cuba-cuba juga Tengku pikirkan hal Tengku pun malu aib dan serta boleh senang segala* pasal Tengku itu melainkan bodohlah adanya tamat jika hendak surat barang suatu suruhlah kepada Husain Sab dan kepada anak patik sahaja serta dengan lebai ini jangan	non-nominal	root
1830s	senang	verses	Perb 51*w	..... supaya jangan nama buruk adanya dan jangan Tengku pikir bini patik atau malu karena sebab sudah rosak-berosak lagi ada hikayat zaman-zaman dahulukala asal* puas hati dengan senang duduk di dalam dunia adanya tamat | adatnya raja-raja Tambi berkata , titahnya itu dijadikan kota , pada jalan yang aib yang sudah nyata , menyampaikan hajat seperti dicita .	non-nominal	root
1830s	senang	verses	Perb 57b	... dan cara , baik kelakuannya jaga pelihara , supaya jangan berharu-hara , menjauhkan sekalian bala sengsara | walaupun* miskin makan tak kenyang , kelak-kelaknya* nanti berhati senang, kurang dari itu janganlah dikenang , malu dan aib susah tak menang | aib pun boleh inilah macamnya , melainkan jangan dikhuatirkan padanya , jika lain dari surat ..........	non-nominal	root
1830s	senang	verses	Perb 62a	........ jalan patik pesan di situ | jika tiada diperbuat demikian itu , tidaklah boleh patik bersatu , sebab dua dari musuhnya itu , orangnya Tuanku Kampeni pun begitu | tidaklah senang sentosa selama , Tengku dengan patik duduk bersama , jikalau boleh pun tiadalah lama , cubalah Tengku pikirkan sama | darihal aib malunya Tengku , senanglah* segala pasal ...	non-nominal	root
1830s	senang	verses	Perb 68c	akan bini patik malu dan khuatir , karena sebabnya awal dan akhir , rosak-berosak sudahlah lahir | adapun hikayat dari dahulukala , zaman-berzaman tidak bercela , asal* puas hati senang bersila , di dalam dunia itulah pahala | sudah disurat dikirimkan lantas , Tambi pun turun ke perahu top* lekas , berlayar lari lalulah lepas , sampai di Melaka baharulah ...	non-nominal	root
1840s	senang	verses	Abd.S ST 121d	melihat hartanya habislah lumat. | Orang Keling tongkang pun terlalulah suka ria , Katanya: “Sekali inilah kita boleh kaya , Karena orang semua sudah percaya , Inilah ketika <w>senang</w> boleh <phr>menipu</phr> dia.” | Ia mahu seratus ringgit sewa tongkang , Itu pun wang tunai ia hendak pegang , Hairanlah sahaya serta tercengang , Sebab ia tiada lagi mengenal orang. |.	nominal	root
1840s	senang	verses	EPut 160a	..... pun indah tiada terperi | Di sanalah duduk raja bangsawan , di kota cunda raja handalan , berhimpun di sana segala kawan , kecil dan besar laki-laki perempuan | Baginda pun senang tiada terperi , di dalam kota rumah sendiri , datang menghadap sekalian puteri , beberapa pula hulubalang menteri | Duduklah baginda dengan istirahat , alhamdulillah badan ..	non-nominal	root
1840s	senang	verses	EPut 210d	....., Encik Abas dukun muda yang pokta , nasi berastakona dibawanya serta | Setelah lepas niatnya baginda , membayar kaul akan adinda , ala kadarnya barang yang ada , baharulah senang di dalam dada | Hendak pun diperbuat dengan seperti , jadilah lambat tiada ternanti , sebenarnya masygul di dalam hati , rindukan kakanda raja yang sakti | Karena baginda ...	non-nominal	root
1840s	senang	verses	Sunur 19c	dalam haribaan bunda mengandung , jikalau sakit bunda mendukung , pada masa panas dikembang payung. | Di dagang untung bagai barabah , dalam hilalang tuhur dan basah , sakit dan senang itulah rumah , begitu nasib takdir Allah. | Di orang untung upama balam , di dalam sangkaran podi manikam , di dagang untung bagai anak hayam , dalam pelimbahan siang dan ...	non-nominal	root
1850s	senang	verses	K&M 7v 3a	.., Di sebelah kulon sisi ke sana | Hinggap di atas pohon bidara , Perlahan bermadah manis suara , Dewa susunan pangestu kara , Matilah Kumbang rindu sengsara | Kumbang tak lagi senang rasanya , Ke sana sini gundah rupanya , Kurus kering sudah anggotanya , Melayang tidak perhentiannya | Terlalu sangat menanggung berangti , Terbang melayang tiada berhenti ,	non-nominal	root
1850s	senang	verses	K&M 30r 2a	......., Di sisi kolam jambangan ratna | Hinggap di atas pohon bidara , Berkata tidak dengan cedera | Emas mirah pe[ng]lipur lara , Ambillah patik tuan pelihara | Itu pun tidak senang rasanya , Ke sana sini gundah hatinya , Kurus kering akan tubuhnya , Serta tidak ada rohnya | Daripada tidak tertahan hati , Terbanglah kumbang tiada berhenti , Hinggap di ..	non-nominal	root
1850s	senang	verses	K&M 31r 5b	....| Dengarkan tuan suatu peri , Maksudnya sahaya datang ke mari , Disuruh Kumbang lila jauhari , Kumbang nin hendak berhambakan diri | Hai Melati mendengarkan sabda , Hatinya senang memberi gundah , Balaskan kata kira kakanda(h) , Kepada Kumbang paras muda | Janganlah ia menaruh duka , Bukannya adinda tiada suka , Di dalam hemat pikir dan sangka ,......	non-nominal	root
1850s	senang	verses	K&M 34r 8d	....... pinggang , Beradulah adinda di lengan abang , Supaya puas hati yang bimbang | Di atas adinda beradu , Biarlah abang bercium jua , Laksana diminum airnya madu , Baharulah senang hati yang rindu | Ayuhai adinda muda yang sedang , Sangatlah manis di mata abang , Wajah berseri lehernya jenjang , Laksana manikam di dalam dulang | Emas mirah rotan pekaca	non-nominal	root
1860s	senang	verses	Mwr 3v 4d	.......... serta , Perling mengikut bersuka cinta , Lantas mendapatkan unggas dewata | Sampailah Nuri itu ketika , Sama tersenyum berjumpa muka(h) , Cinderawasi hatinya suka(h) , Senang sedikit kalbu yang duka(h) | Tersenyum manis unggas dewata , Kepada Nuri ia berkata , Ayuwai tuan tolonglah beta , Carikan obat nawari berangta* | Berangta laksana mabuk ....	non-nominal	root
1860s	senang	verses	NurP 77:6c	... raja mahkota , Akan isterinya yang muda pokta , Berapa kawal nazarnya nya serta , Sukanya tidak menderita | Baginda pun adil tidak terkira , Merintah segala rakyat tentera ,Senang sentosa di dalam negara , Sekalian dagangnya berapa perkara | Baginda pun sangat berkasihan , Akan isterinya muda pilihan , Tidaklah baginda dapat kesusahan , Memberi derma .	non-nominal	root
1860s	senang	verses	Nuri 8v 1b	.... melihat datangnya Muri , Sekalian penyakit habis terurai , Sigeralah duduk menegangkan jari , Memelu leher sambil berperi | Ayuhai tuan Muri Mak Inang , Sakitku ini bilakan senang, Udara ditentang berkunang-kunang , Leher pun seperti diikat benang | Rakit boleh karam di karang , Baik ditunda ke tengah laut , Sakit menaruh dendam seorang , Seperti kan	non-nominal	root
1860s	senang	verses	Dmsy.S 176d	..... suri , Lalu bertitah dengan berperi , Kudaku itu bawa ke mari | Bawa ke mari kuda yang tangkas , Dengan dipakaikan alat perkakas , Janganlah lengah biarlah lekas , Supaya senang dilarikan ringkas | Sementara aku lagi hendak makan , Semuanya kudaku engkau sediakan , Di tepi balai engkau tambatkan , Segala gembala engkau suruhkan | Lalulah turun anak .	non-nominal	root
1860s	senang	verses	Dmsy.S 314b	.... rupa sudah diubahkan , Di dalam peti konon dimasukkan , Gergasi itu yang ditakutkan , Jika terjumpa lalu dimakan | Rupa dijadikan sebutir pinang , Baharulah puteri berhati senang, Air matanya sambil berlinang , Kejahatan gergasi itu dikenang | Ketika petang sudahlah hari , Gergasi pun datang dengan berperi , Naik ke atas maligai puri , Seraya .......	non-nominal	root
1860s	senang	verses	Dmsy.S 551d	. istana , Pandai sekali syair rencana , Membuat ibarat terlalu kena | Pangkal betik mainan kera , Pangkal pinang menjadi tunggul , Tinggallah patik gundah sengsara , Duduk tak senang berhati sugul | Kalau tuan melanang rami , Tepi perigi batang delima , Kalau tuan kenangkan kami , Kalau pergi janganlah lama | Dang Ratna muda yang indah , Putih kuning ....	non-nominal	root
1860s	senang	verses	Dmsy.S 632d	, Dengan menjaga kera dan beruk , Jangan merusakkan pucuk dan taruk | Silakan dahulu tuan berhenti , Boleh menghilangkan penat yang pasti , Apalah lagi hendak dinanti , Supaya senang rasanya hati | Nenek Kebayan terlalu suka , Tiada sekali ia menyangka , Akan putera seri paduka , Segala kebajikan dapat belaka | Syah Firman putera syah alam , Berhenti di .	non-nominal	root
1860s	senang	verses	Dmsy.S 1377d	... Lela Perabu , Dengan perhiasan menggantung kelambu | Empat ekor merak mengigal , Di penjuru kelambu putera yang tunggal , Berantai suasa buatan tak janggal , Kait berkunci senang menanggal | Perhiasan itu rantai berenda , Berdaun bodi berkida-kida , Bunga bertekat awan melanda , Tempat peraduan putera yang muda | Semuanya menteri menyembahkan suluk ,	non-nominal	root
1860s	senang	verses	Dmsy.S 1500c	...., Lama meninggalkan tempat asali , Di negeri Damsyik ayahanda tarjali | Sambil bertitah mata berlinang , Memikirkan puternya di dalam pengenang , Siang dan malam rasa tak senang, Hatinya kusut seperti benang | Raja mendengar sembah anakda , Syah Firman usul yang muda , Sangatlah heran di hati baginda , Mendengarkan hal demikian ada | Seraya ........	non-nominal	root
1860s	senang	verses	Dmsy.S 1895c	...... derma , Miskin dan kaya semua terima , Karena nazar sudahlah lama , Tanda selamat putera kesuma | Berhentilah konon sedikit hari , Melepaskan penat tuan puteri , Supaya senang laki isteri , Dengan segala isi negeri | Telah sampai saat ketika , Bertitah sultan seri paduka , Dengan adinda ia berbeka , Menyuruh berkumpul adik dan kaka | Ihsan al-.....	non-nominal	root
1860s	senang	verses	Kmt 62:2c	.. Trengganu disebutkan , Kabar di jalan tiada dikabarkan , Sedikit sahaja dikabarkan | Tatkala sampai ke pulau Singapura , Duduk terpekur dengan berkira , Tiada berapa hati yang senang, Jam-jam darajah berlinang-linang | Daripada sehari kepada sehari , Berjalan-jalan ke sana ke mari , Terkenangkan untung nasib sendiri , Seperti duduk di dalam duri | Fakir	non-nominal	root
1860s	senang	verses	Kmt 63:2d	..... berkawan-kawan , Hati nan lagi belum ketahuan | Tatkala berlari dari Pulau Pinang , Air mata berlinang-linang , Negeri Mekah juga dikenang-kenang , Tatkala sampai baharulah senang | Tamatlah sudah syair ini. Kepada lima hari bulan Dulkaidah, kepada hari Ahad, waktu, jam, pukul lima petang, kepada tahun seribu dua ratus dualapan* puluh satu dan yang ...	non-nominal	root
1860s	senang	verses	Pung 4v 3d	.......... bulan paras yang indah , Habislah umur dendam tak sudah | Teringatkan zaman tatkala masa , Waktu berlayar segenap desa , Sakitnya sangat badan kuasa , Haram tak boleh senang sentosa | Sudahlah dengan takdir Allah , Janji awal sudah terjumlah , Tidaklah dapat ia disalah , Barang apa pun supaya terimalah | Sedang tunduk mari kawan , Dendamku tidak	non-nominal	root
1860s	senang	verses	Awai 262c	...... disuruh berseteru , faidahnya konon menaruh cemburu , jikalau mufakat menderhaka meluru | Jikalau mufakat payah memerintah , yang keras konon tak boleh dipatah , tak boleh senang memberi titah , inilah yang keji fiil teratah | Inilah sangka yang amat dusta , adakah mufakat menjadi leta , jika di negeri berbanyak meta , kotorlah negeri maki dan nista .	non-nominal	root
1860s	senang	verses	Awai 271b	di situ | Cobalah pikirkan baring terlentang , malaik al-maut tentulah datang , entahkan pagi entahkan petang , mengambil nyawa berbayar hutang | Jika ada amalmu tuan , <phr>mendapat</phr> senang dikurnia Tuhan , mendapat nikmat jannatu ar-ridwan , fi kul waqtu wa-awan | Jika amalmu zalim celaka , dihela zabaniya ke dalam neraka , azab dan siksa kepada jangka ,......	nominal	root
1870s	senang	verses	Buah 6v 4b	..| Sebab tuannya empunya sahabat , Berhenti berkelahi jadi sepakat , Bua[h]-bua[h] kedua suka hatinya , Sebab bertemu yang dicarinya | Tiada tahu di mana ruma[h]nya , Masa ini senang di hatinya , Kokosan itu sigera menegurnya , Titah dipanggillah bua[h] Anggur | Berapa persembahan yang ditegur , Serikaya jua tuan kita tegur , Karena banyak suda[h] bua[h]-	non-nominal	root
1870s	senang	verses	Buah 11r 8d	....., Gerangan apa maksudnya bujang , Sampaikan lama tiadakan hilang | Bangun Delima dengan masygulnya , Sepanjang hari dipikirnya , Apa gerangan arti mimpinya , Delima tiada senang hatinya | Delima masygul berhati gunda[h] , Apa gerangan yang datang ada , Masygul di hati penu[h] di dada , Pikiran jua menjadi tanda | Demikianlah pada suatu hari , Delima	non-nominal	root
1870s	senang	verses	Buah 16v 7d	... sunggu[h] menanggung cinta , Terbayang di hati di mata-mata | Delima terbayang kepada Anggur , Kepala ngelu rasa kurang tidur , Sakit di hati badan sekujur , Biasa sekalian senang berumur | Di dalam ia berjalan pulang , Anggur jua terbayang-bayang | Disebut namanya berulang-ulang , Rasa(h)nya badan tiada disayang | Berjalan ia menuju istana ,.........	non-nominal	root
1870s	senang	verses	Buah 23r 7c	..... orang di atas harta , Hajat segala sampailah serta , Tinggal si miskin duduk terlunta , Sekarang apa hendak dikata | Kalau orang yang kaya , Namanya masyur sangat mulia ,Senang ia hidup di dunia , Tinggal si miskin sangatlah paya | Maka itu satu tauladan , Akan conto[h] kepada badan , Biar banyak pikir bertandan-tandan , Jangan sampai perjalanan ...	non-nominal	root
1870s	senang	verses	Buah 25v 3a	...... tiada mau menyera[h] | Sebab kalah ia berdikir , Ramai tertawa orang yang hadir , Murid Kedondong tak mau mungkir , Mera[h] padam hati berpikir | Anak murid Pala hatinya senang, Sebab dikiranya itu suda[h] menang , Sekalian bua[h] habis berkenang , Yang kuat ngapal si bua[h] Pinang | Adapun tiada disebutkan itu , Kami kisahkan satu persatu ,......	non-nominal	root
1870s	senang	verses	Buah 32v 3a	.....| Setelah suda[h] sampai perjanjian , Sedekah sepiring pakek bunyi-bunyian , Sekalian bua[h]-bua[h] jadi ketagi[h]an , Melihat Mangga banyak pengertian | Sekarang bertemu senang di hati , Empat pulu[h] rupiah yang puti[h]-puti[h] , Berapa persantapan yang seperti , Seperti kue-kue ada juga roti | Maka setelah daripada itu , Ke rumah Korma pergi .....	non-nominal	root
1870s	senang	verses	Buah 34v 1a	berdiri sala[h] | Tetapi aku pergi kepada Jagung , Di situlah aku minta tolong , Supaya nyawa aku bole[h] bersambung , Jangan sampai gila terpaung-paung | Sekarang aku menjadi senang, Demikianlah yang aku bilang | Duduk laki isteri malam siang , Hati yang rusak menjadi hilang , Lalu Mangga akan menunjukkan , Kepada Jagunglah dibilangkan | Di tenga[h] ...	non-nominal	root
1870s	senang	verses	Nymk 15r 6a	, Patutlah menjadi belaku mati | Patutlah sekali di dalam cita , Bibirnya mengerna rata , Kilat sejari* kerlingan mata , Mehancurkan merusakkan cita | Rusak binasa badan ta[k] senang , Pipinya laksana pauh dilayang , Badannya seperti gambar wayang , Cahaya durja berbayang-bayang | Gambar dilarik jenjang lehernya , Hitam berkilat panjang rambutnya , ......	non-nominal	root
1870s	senang	verses	Nymk 22r 6b	..... nin ada beroleh kemaluan , Sebab dipermainkan sembah orang perempuan | Air matanya sebagai berlinang-linang | perempuan itu memberi mudharat , Dendam birahi hatinya ta[k] senang, Kepada tuan pohonkan isyarat , Hanyalah beta yang dikenang , Supaya hatinya sangat gairat , Demikianlah maksud di dalam hasrat , Jikalau di laut sahaya berenang | Maksud ..	non-nominal	root
1870s	senang	verses	MSiamB 2:5d	... rajanya , Maskipun mahal sewaannya , Asal betul persediaannya. | Di mana tempat bole bermalam? , Di rumah tuan besar si raja Siam , Riasannya bagus di luar di dalam , Tidur senang dan boleh meram. | Carita menurut surat programma , Suda dikarang jadi bersama , Bagaimana misti orang terima , Maha raja Siam nyang pertama. | Sablon sampe la itu Raja ,...	non-nominal	root
1870s	senang	verses	MSiamB 10:5d	.., Kawan-kawannya juga lagi , Turut maunya maka menjadi. | Dari situ brangkat la pulang , Suda jalan berputar lapang , Sangat maunya bukan kapalang , Sampe di ruma <phr>mengambil</phr> <w>senang</w>. | Maha raja dan tuan putra , Pasiar sorenya nyang pukul lima , Puter kuliling jalan Jakatra , Abis kuliling pulang karuma. | Pasiar bukan sendiri saja , Kawan-kawan ........	nominal	root
1870s	senang	verses	MSiamB 35:4d	... anak dan bini , Buat begitu buat begini , Biar beruntung sana dan sini. | Slamat lagi biar panjang umur , Idup dengan segala sukur , Untung jangan menjadi mundur , Biar la senang di dalam tidur. | Pengabisan kata ini slamat , Sampe pada sekalian umat , Maka di bawa ini alamat , Berkata cukup atau: Tamat. |§§	non-nominal	root
1870s	senang	verses	Wangk 43:8a	....., Di Sungai Miaya* sudah terang” | Komandan bicara pada penghulu , Itu orang baik juga tentu , Haji Demang Bujal bicara , “Abdulrasyid juga dipegang itu | Kita kasih hati senang, Sebab dia ikut Wangkang , Dia bicara sudah terang , Polisi kamar* tempatnya sekarang | Haji Sulaiman jangan khawatir , Juragan juga jangan berpikir , Kita suruh jaga di ...	non-nominal	root
1870s	senang	verses	WHaji 13a	.... ingat supaya baik nama , hidupmu selamat selama2 | Tiada belajar lebih dahulu , sebelum pergi bodo terlalu , hendak bertanya malas dan malu , menurut syaitan dengan selalu | <w>Senang</w> badan <phr>yang dia cari</phr> , suka diam malam dan hari , menunggu orang yang suka memberi , sungguh rugi dia punya diri | Sangat pemalas di dalam bekerja , menyusahkan diri dengan ..	nominal	root
1870s	senang	verses	WHaji 79b	....... suka menolong orang , ingatkan jangan berbuat yang dilarang , pasti yang jahat banyaklah kurang , tiada dicuri uang dan barang | Yang kasih ingat dapat ganjaran , jadilah senang tiada kesukaran , tiada kaku tiada kafiran, , diharap juga dapat bayaran | Itulah haji2 punya pekerjaan , kelakuan lulus dengan perlahan , menjadi baik mudah-mudahan , dapat	non-nominal	root
1880s	senang	verses	LKrm 107c	.....| Rumahnya hanyut nyatalah, Tuan , Dipukul air bertaburan , Orang di dalam berlari2an , Hendak mati dirasakan. | Mana yang ada lari dahulu , Lepaslah ia daripadanya musuh , <w>Senang</w> pikiran <phr>nyatalah</phr> sunggu[h] , Yang di belakang matilah sungguh. | Bermacam2 yang dikabari , Sedikit saja yang terperi , Supaya mafhum khabar diberi , Menghilangkan was-was di	nominal	root
1880s	senang	verses	LKrm 177a	..., Membuat Tokoh dengan kesukaan. | Merampas kayu nyatalah, Tuan , Boleh periksa segala ikhwan , Bukannya dusta hamba khabarkan , Dengan sungguh hamba perikan. | Berbuat Tokoh senang sekali , Mengambil kayu tidak membeli , Mana yang suka boleh dipilih , Haknya orang nyata sekali. | Ditambah lagi khabarnya, Tuan , Membeli barang dengan kemurahan , Tidak ..	non-nominal	root
1890s	senang	verses	SSiti 45:9b	........| Berapa ubat disuruh dicari , Pada segenap jajahan negeri , Sekaliannya dukun datang berperi , Disuruh mengubatkan tuan puteri. | Serta sudah terkena ubat , Jangankan <w>senang</w> <phr>bertambah</phr> sangat , Naiklah bisa kepala pun rengat , Sepertikan hilang rasa semangat. | Terlalu sangat sakit dirasa , Tulang dan sendi sekaliannya bisa , Badan pun tersudah ..	nominal	root
1890s	senang	verses	SSiti 51:4b	.. sedarkan diri. | Wah, anakku cahaya mata , Tangkai kalbu tajuk mahkota , Tiadalah tuan bertakhta , Dengan seketika lenyap di mata. | Harapkannya hati bondamu ini , Dikatakan senang selama ini , Bertanyalah bonda ke sana sini , Rupanya tuan sudahlah pani. | Demikianlah hal lakunya baginda , Sangat percintaan di dalam dada , Duduk menangis akan anakanda .	non-nominal	root
1890s	senang	verses	SSiti 84:7c	.., Bagaimana pula gerangan laku , Jikalau sampai juga ajalku , Hampirlah mati gerangan aku. | Sekaliannya habis dikenang , Air mata berlinang-linang , Hatinya tidak berdatang senang, Puteri keenam juga terkenang. | Adapun akan duli baginda , Datang daripada balai syahda , Lalu semayam hampir adinda , Sambil tersenyum baginda bersabda. | Ditindih paha ..	non-nominal	root
1890s	senang	verses	SSiti 142:6d	...... kuda ke sana sini , Diperbuat cokmar besi kersani. | Cokmarnya berat seratus aman , Perisai yang tebal perbuatan Yaman , Terlalu pantas muda budiman , Mengangkat cokmar senang dan aman. | Terlalu pandai ilmu laki-laki , Tiada siapa taranya lagi , Sekalian pohon kayu yang tinggi , Boleh dibantun dengan ibu kaki. | Gagahnya tidak lagi menderita ,...	non-nominal	root
1890s	senang	verses	SSiti 177:3d	....., Betapakah bicara sekalian diri , Sarif Ismail silakan ke mari. | Kerana dia empunya desa , Siapa pula dihantar memeriksa desa , Isi negeri boleh diperiksa , Supaya pun senang sentosa. | Menteri ketiga mendengarkan kata , Terlalu berkenan di dalam cita , Lalulah sama berjalan serta , Diiringkan orang sekalian rata. | Setelah sampai segala menteri .	non-nominal	root
1890s	senang	verses	SSiti 190:1b	. Apakah lagi yang aku gerangan , Puteri nan tentu di dalam tangan , Biarlah dahulu jadi tunangan , Kerana hendak mencari kesenangan. | Jikalau belum bertemu ayahku , Belumlah senang rasanya hatiku , Bernama isteri sabar laku , Kerana tentu di dalam maklumku. | Bertambah pilu di dalam cita , Terkenangkan ayahanda bondanya serta , Ingin hendak bertemu ....	non-nominal	root
1890s	senang	verses	SSiti 207:4b	| Johan Arifin lalu berkata , Selama ayahanda sultan mahkota , Persilakan tuan ke dalam kota , Hendak menyerahkan segala harta. | Kerana ayahanda terlalu sakit , Baharulah ia senang sedikit , Baharulah tiga hari boleh berbangkit , Percintaannya besar umpama bukit. | Jikalau ada belas dan kasihan , Silakan tuan muda pilihan , Mohonkan ampun dengan .......	non-nominal	root
1890s	senang	verses	SSiti 237:1d	dan nazar sudah berbayar , Sukanya baginda tiada ikhtiar. | Mengeluarkan harta tiada berasa , Tiadalah sayang ribu dan laksa , Kerana hendak jadikan termasa , Supaya anakanda senang sentosa. | Sekalian orang menadahkan amin , Terimalah doaku ya Rabbulalamin , Baginda menjadi Khalifatul Mukminin , Menjadi penghulu segala muslimin. | Kekal karar di atas ..	non-nominal	root
1890s	senang	verses	SAB 7:1a	.... Malaijoe bahsa | Radjinlah beta karang mengarang , Dari dahoeloe sampei sekarang , Djikalau ada lebih dan koerang , Kerna fikiran koeranglah terang | Mengarang sair boekannja senang, Fikiran koesoet seperti benang , Mentjari fikiran dengan tenang , Sopaija dapat apa jang dikenang | Hilmoe mengarang beta terima , Ka ampat oedjoeng nja adalah sama ,.....	non-nominal	root
1890s	senang	verses	SAB 10:1d	..... prangei nja inda , Slama hidoep diloepakan tiada | Diharap Toehan landjoetkan oesia nja , Serta dengan anak dan istri nja , Sopaija bertamba pangkat doerdjat nja , <phr>Mendapat</phr> <w>senang</w> <phr>slama lama nja</phr> | Datok inilah jang sangat terang hati , Banjak soerat dia nja mengarti , Soerat Tjina Japan dan orang poeti , Sangatlah baik boedi dan peketi | Djarang ......	nominal	root
1890s	senang	verses	SAB 17:2d	..... orang maliat berdiri , Penoeh sesak kanan dan kiri | Limablas malam demikian termasa , Terang api nja riboe dan laksa , Waijang dan djoget main dipaksa , Segala jang maliat senang merasa | Ditiang kapal nja ada beriboe api , Dipinggir lautan nampak ditepi , Teng Japan digantoeng seperti topi , Spandjang djalan tiada jang sepi | Lain daripada roema ....	non-nominal	root
1890s	senang	verses	SAB 48:2d	.... negri , Bertambalah ramei setiap hari , Aman sentausa tiada terpri | Prenta Beginda sangat adilnja , Negri Beginda bertamba ramei nja , Banjak lah orang datang kenegri nja ,Senang mentjari rezeki nja | Baroe Beginda doedoek memerenta , Segala djalan diboeat nja rata , Senang berlari koeda dan kreta , Segala raijat nja menaroeh tjinta | Bertambalah ....	non-nominal	root
1890s	senang	verses	SAB 48:3c	......., Negri Beginda bertamba ramei nja , Banjak lah orang datang kenegri nja , Senang mentjari rezeki nja | Baroe Beginda doedoek memerenta , Segala djalan diboeat nja rata ,Senang berlari koeda dan kreta , Segala raijat nja menaroeh tjinta | Bertambalah banjak orang Tjina , Datang dari negri mana mana , Pinda di Muar poenja tana , Bertanam gambir .....	non-nominal	root
1890s	senang	verses	SAB 49:3d	... poeti , Segala hoekoeman nja adil lah pasti , Segala raijat nja bersoeka hati | Djarang ada penjamon pentjoeri , Didalam Beginda poenja negri , Aman sentausa spandjang hari ,Senang rezeki nja dapat di tjari | Tiada ada aniaja dan seksa , Didalam negri senang sentausa , Tiada raijat nja mendapat soesa , Segala hoekoeman adil dan semporna , Banjak orang .	dup	root
1890s	senang	verses	SAB 49:4b	...| Djarang ada penjamon pentjoeri , Didalam Beginda poenja negri , Aman sentausa spandjang hari , Senang rezeki nja dapat di tjari | Tiada ada aniaja dan seksa , Didalam negri senang sentausa , Tiada raijat nja mendapat soesa , Segala hoekoeman adil dan semporna , Banjak orang Tjina pinda disana , Boleh main djoedi segala orang Tjina , Dalam djedjahan ...	non-nominal	root
1890s	senang	verses	SAB 49:6d	..... main djoedi segala orang Tjina , Dalam djedjahan nja dimana mana | Sangat lah Beginda arif bistari , Sangatlah pandei memboeat negri , Segala djalan nja rata dibri , <phr>Banjak</phr> <w>senang</w> koeda berlari | Sangat lah molek dia poenja astana , Nampak nan dari mana mana , Tiada djaoe pelaboean disana , Banjak sampan nja orang Tjina | Astana negri Johor sangatlah .	nominal	root
1890s	senang	verses	SAB 54:4b	....| Negri Beginda sangatlah aman , Sangat masohor ini lah zaman , Segala bersi kampoeng dan laman , Serta djadi segala tanaman | Negri Beginda sangatlah sentausa , Banjak jang senang dari jang soesa , Banjak jang halim sedikit berdosa , Slama Beginda memegang kwasa | Negri Beginda sangatlah bersi , Ada pasar nja daripada besi , Sangatlah banjak orang ....	non-nominal	root
1890s	senang	verses	SAB 54:7c	......, Menoeroet oendang segala nja rata , Tiada di lebikan orang berharta , Menoeroet oendang ada berkata | Senanglah orang di dalam negri , Negri nja aman koerang pentjoeri ,Senang disana orang mentjari , Akan nafka anak dan istri | Sangatlah masohor negri Johor , Nama Sultan nja amat termasohor , Laboean nja dalam tiada tohor , Di mesdjit nja ramei ...	non-nominal	root
1890s	senang	verses	SAB 55:2b	... Tjina nja banjak disitoe , Ada beriboe roema nja dari batoe , Ramei kampong nja boekan swatoe , Beriboe kedei warong nja tentoe | Banjak orang Tjina brapa laksa , Banjak jang senang sedikit jang soesa , Sangat lah moera aijam dan gangsa , Serta oedang ikan jang basa | Ada lima gedong dari pada batoe , Sangatlah besar boekan swatoe , Seratoes djendela ...	non-nominal	root
